school,date,school_year,month,bill_php
An-anaao Integrated School,2021-06,2021–2022,June,9000
An-anaao Integrated School,2021-07,2021–2022,July,9400
An-anaao Integrated School,2021-08,2021–2022,August,9800
An-anaao Integrated School,2021-09,2021–2022,September,10200
An-anaao Integrated School,2021-10,2021–2022,October,10400
An-anaao Integrated School,2021-11,2021–2022,November,10000
An-anaao Integrated School,2021-12,2021–2022,December,9200
An-anaao Integrated School,2022-01,2021–2022,January,8900
An-anaao Integrated School,2022-02,2021–2022,February,8950
An-anaao Integrated School,2022-03,2021–2022,March,9300
An-anaao Integrated School,2022-06,2022–2023,June,10200
An-anaao Integrated School,2022-07,2022–2023,July,10800
An-anaao Integrated School,2022-08,2022–2023,August,11300
An-anaao Integrated School,2022-09,2022–2023,September,11600
An-anaao Integrated School,2022-10,2022–2023,October,11900
An-anaao Integrated School,2022-11,2022–2023,November,10800
An-anaao Integrated School,2022-12,2022–2023,December,9500
An-anaao Integrated School,2023-01,2022–2023,January,9200
An-anaao Integrated School,2023-02,2022–2023,February,9300
An-anaao Integrated School,2023-03,2022–2023,March,9900
An-anaao Integrated School,2023-06,2023–2024,June,13676
An-anaao Integrated School,2023-07,2023–2024,July,16107
An-anaao Integrated School,2023-08,2023–2024,August,9865
An-anaao Integrated School,2023-09,2023–2024,September,11677
An-anaao Integrated School,2023-10,2023–2024,October,13270
An-anaao Integrated School,2023-11,2023–2024,November,13447
An-anaao Integrated School,2023-12,2023–2024,December,26993
An-anaao Integrated School,2024-01,2023–2024,January,11366
An-anaao Integrated School,2024-02,2023–2024,February,12380
An-anaao Integrated School,2024-03,2023–2024,March,12261
An-anaao Integrated School,2024-06,2024–2025,June,12700
An-anaao Integrated School,2024-07,2024–2025,July,13400
An-anaao Integrated School,2024-08,2024–2025,August,13600
An-anaao Integrated School,2024-09,2024–2025,September,13100
An-anaao Integrated School,2024-10,2024–2025,October,12800
An-anaao Integrated School,2024-11,2024–2025,November,11700
An-anaao Integrated School,2024-12,2024–2025,December,11200
An-anaao Integrated School,2025-01,2024–2025,January,10900
An-anaao Integrated School,2025-02,2024–2025,February,11000
An-anaao Integrated School,2025-03,2024–2025,March,11300
An-anaao Integrated School,2025-06,2025–2026,June,13800
An-anaao Integrated School,2025-07,2025–2026,July,14100
An-anaao Integrated School,2025-08,2025–2026,August,14300
An-anaao Integrated School,2025-09,2025–2026,September,14400
An-anaao Integrated School,2025-10,2025–2026,October,
An-anaao Integrated School,2025-11,2025–2026,November,
An-anaao Integrated School,2025-12,2025–2026,December,
An-anaao Integrated School,2026-01,2025–2026,January,
An-anaao Integrated School,2026-02,2025–2026,February,
An-anaao Integrated School,2026-03,2025–2026,March,
La Paz Integrated School,2021-06,2021–2022,June,10200
La Paz Integrated School,2021-07,2021–2022,July,10600
La Paz Integrated School,2021-08,2021–2022,August,10900
La Paz Integrated School,2021-09,2021–2022,September,11200
La Paz Integrated School,2021-10,2021–2022,October,11500
La Paz Integrated School,2021-11,2021–2022,November,11000
La Paz Integrated School,2021-12,2021–2022,December,10300
La Paz Integrated School,2022-01,2021–2022,January,9900
La Paz Integrated School,2022-02,2021–2022,February,9950
La Paz Integrated School,2022-03,2021–2022,March,10400
La Paz Integrated School,2022-06,2022–2023,June,11500
La Paz Integrated School,2022-07,2022–2023,July,12000
La Paz Integrated School,2022-08,2022–2023,August,12300
La Paz Integrated School,2022-09,2022–2023,September,12700
La Paz Integrated School,2022-10,2022–2023,October,13000
La Paz Integrated School,2022-11,2022–2023,November,11900
La Paz Integrated School,2022-12,2022–2023,December,10800
La Paz Integrated School,2023-01,2022–2023,January,10300
La Paz Integrated School,2023-02,2022–2023,February,10500
La Paz Integrated School,2023-03,2022–2023,March,11200
La Paz Integrated School,2023-06,2023–2024,June,13000
La Paz Integrated School,2023-07,2023–2024,July,17988
La Paz Integrated School,2023-08,2023–2024,August,10630
La Paz Integrated School,2023-09,2023–2024,September,12891
La Paz Integrated School,2023-10,2023–2024,October,14415
La Paz Integrated School,2023-11,2023–2024,November,15107
La Paz Integrated School,2023-12,2023–2024,December,28634
La Paz Integrated School,2024-01,2023–2024,January,12612
La Paz Integrated School,2024-02,2023–2024,February,13692
La Paz Integrated School,2024-03,2023–2024,March,13195
La Paz Integrated School,2024-06,2024–2025,June,13900
La Paz Integrated School,2024-07,2024–2025,July,14700
La Paz Integrated School,2024-08,2024–2025,August,14800
La Paz Integrated School,2024-09,2024–2025,September,14200
La Paz Integrated School,2024-10,2024–2025,October,13900
La Paz Integrated School,2024-11,2024–2025,November,12600
La Paz Integrated School,2024-12,2024–2025,December,11900
La Paz Integrated School,2025-01,2024–2025,January,11400
La Paz Integrated School,2025-02,2024–2025,February,11600
La Paz Integrated School,2025-03,2024–2025,March,11900
La Paz Integrated School,2025-06,2025–2026,June,15100
La Paz Integrated School,2025-07,2025–2026,July,15400
La Paz Integrated School,2025-08,2025–2026,August,15600
La Paz Integrated School,2025-09,2025–2026,September,15700
La Paz Integrated School,2025-10,2025–2026,October,
La Paz Integrated School,2025-11,2025–2026,November,
La Paz Integrated School,2025-12,2025–2026,December,
La Paz Integrated School,2026-01,2025–2026,January,
La Paz Integrated School,2026-02,2025–2026,February,
La Paz Integrated School,2026-03,2025–2026,March,
