school,date,school_year,month,bill_php
Sample Integrated School,2021-06,2021–2022,June,11200
Sample Integrated School,2021-07,2021–2022,July,11800
Sample Integrated School,2021-08,2021–2022,August,12100
Sample Integrated School,2021-09,2021–2022,September,12500
Sample Integrated School,2021-10,2021–2022,October,12800
Sample Integrated School,2021-11,2021–2022,November,12000
Sample Integrated School,2021-12,2021–2022,December,11400
Sample Integrated School,2022-01,2021–2022,January,10900
Sample Integrated School,2022-02,2021–2022,February,11000
Sample Integrated School,2022-03,2021–2022,March,11500
Sample Integrated School,2022-06,2022–2023,June,12800
Sample Integrated School,2022-07,2022–2023,July,13400
Sample Integrated School,2022-08,2022–2023,August,13900
Sample Integrated School,2022-09,2022–2023,September,14200
Sample Integrated School,2022-10,2022–2023,October,14500
Sample Integrated School,2022-11,2022–2023,November,13200
Sample Integrated School,2022-12,2022–2023,December,12100
Sample Integrated School,2023-01,2022–2023,January,11600
Sample Integrated School,2023-02,2022–2023,February,11800
Sample Integrated School,2023-03,2022–2023,March,12500
Sample Integrated School,2023-06,2023–2024,June,15200
Sample Integrated School,2023-07,2023–2024,July,18400
Sample Integrated School,2023-08,2023–2024,August,12100
Sample Integrated School,2023-09,2023–2024,September,14100
Sample Integrated School,2023-10,2023–2024,October,15800
Sample Integrated School,2023-11,2023–2024,November,16200
Sample Integrated School,2023-12,2023–2024,December,29400
Sample Integrated School,2024-01,2023–2024,January,13800
Sample Integrated School,2024-02,2023–2024,February,14900
Sample Integrated School,2024-03,2023–2024,March,14500
Sample Integrated School,2024-06,2024–2025,June,15800
Sample Integrated School,2024-07,2024–2025,July,16500
Sample Integrated School,2024-08,2024–2025,August,16800
Sample Integrated School,2024-09,2024–2025,September,16100
Sample Integrated School,2024-10,2024–2025,October,15700
Sample Integrated School,2024-11,2024–2025,November,14200
Sample Integrated School,2024-12,2024–2025,December,13500
Sample Integrated School,2025-01,2024–2025,January,12900
Sample Integrated School,2025-02,2024–2025,February,13100
Sample Integrated School,2025-03,2024–2025,March,13500
