school,month,season,consumption_kwh
An-anaao Integrated School,January,Dry,1245
An-anaao Integrated School,February,Dry,1180
An-anaao Integrated School,March,Dry,1320
An-anaao Integrated School,April,Dry,1465
An-anaao Integrated School,May,Dry,1510
An-anaao Integrated School,June,Wet,1285
An-anaao Integrated School,July,Wet,1210
An-anaao Integrated School,August,Wet,1175
An-anaao Integrated School,September,Wet,1190
An-anaao Integrated School,October,Wet,1225
An-anaao Integrated School,November,Wet,1250
An-anaao Integrated School,December,Dry,1250
La Paz Integrated School,January,Dry,1380
La Paz Integrated School,February,Dry,1310
La Paz Integrated School,March,Dry,1460
La Paz Integrated School,April,Dry,1620
La Paz Integrated School,May,Dry,1670
La Paz Integrated School,June,Wet,1420
La Paz Integrated School,July,Wet,1340
La Paz Integrated School,August,Wet,1300
La Paz Integrated School,September,Wet,1320
La Paz Integrated School,October,Wet,1360
La Paz Integrated School,November,Wet,1390
La Paz Integrated School,December,Dry,1380
